roomX roomY xMin xMax yMin yMax zMin zMax
1 1 0.5 4.5 0.5 0.5 0.0 3.0
1 1 0.5 0.5 0.5 4.5 0.0 3.0
1 1 0.5 4.5 4.5 4.5 0.0 3.0
1 1 4.5 4.5 0.5 4.5 0.0 3.0
2 1 5.5 9.5 0.5 0.5 0.0 3.0
2 1 5.5 5.5 0.5 4.5 0.0 3.0
2 1 5.5 9.5 4.5 4.5 0.0 3.0
2 1 9.5 9.5 0.5 4.5 0.0 3.0
3 1 10.5 14.5 0.5 0.5 0.0 3.0
3 1 10.5 10.5 0.5 4.5 0.0 3.0
3 1 10.5 14.5 4.5 4.5 0.0 3.0
3 1 14.5 14.5 0.5 4.5 0.0 3.0
4 1 15.5 19.5 0.5 0.5 0.0 3.0
4 1 15.5 15.5 0.5 4.5 0.0 3.0
4 1 15.5 19.5 4.5 4.5 0.0 3.0
4 1 19.5 19.5 0.5 4.5 0.0 3.0
1 2 0.5 4.5 5.5 5.5 0.0 3.0
1 2 0.5 0.5 5.5 9.5 0.0 3.0
1 2 0.5 4.5 9.5 9.5 0.0 3.0
1 2 4.5 4.5 5.5 9.5 0.0 3.0
2 2 5.5 9.5 5.5 5.5 0.0 3.0
2 2 5.5 5.5 5.5 9.5 0.0 3.0
2 2 5.5 9.5 9.5 9.5 0.0 3.0
2 2 9.5 9.5 5.5 9.5 0.0 3.0
3 2 10.5 14.5 5.5 5.5 0.0 3.0
3 2 10.5 10.5 5.5 9.5 0.0 3.0
3 2 10.5 14.5 9.5 9.5 0.0 3.0
3 2 14.5 14.5 5.5 9.5 0.0 3.0
4 2 15.5 19.5 5.5 5.5 0.0 3.0
4 2 15.5 15.5 5.5 9.5 0.0 3.0
4 2 15.5 19.5 9.5 9.5 0.0 3.0
4 2 19.5 19.5 5.5 5.5 0.0 3.0
1 3 0.5 4.5 10.5 10.5 0.0 3.0
1 3 0.5 0.5 10.5 14.5 0.0 3.0
1 3 0.5 4.5 14.5 14.5 0.0 3.0
1 3 4.5 4.5 10.5 14.5 0.0 3.0
2 3 5.5 9.5 10.5 10.5 0.0 3.0
2 3 5.5 5.5 10.5 14.5 0.0 3.0
2 3 5.5 9.5 14.5 14.5 0.0 3.0
2 3 9.5 9.5 10.5 14.5 0.0 3.0
3 3 10.5 14.5 10.5 10.5 0.0 3.0
3 3 10.5 10.5 10.5 14.5 0.0 3.0
3 3 10.5 14.5 14.5 14.5 0.0 3.0
3 3 14.5 14.5 10.5 14.5 0.0 3.0
4 3 15.5 19.5 10.5 10.5 0.0 3.0
4 3 15.5 15.5 10.5 14.5 0.0 3.0
4 3 15.5 19.5 14.5 14.5 0.0 3.0
4 3 19.5 19.5 10.5 10.5 0.0 3.0
1 4 0.5 4.5 15.5 15.5 0.0 3.0
1 4 0.5 0.5 15.5 19.5 0.0 3.0
1 4 0.5 4.5 19.5 19.5 0.0 3.0
1 4 4.5 4.5 15.5 19.5 0.0 3.0
2 4 5.5 9.5 15.5 15.5 0.0 3.0
2 4 5.5 5.5 15.5 19.5 0.0 3.0
2 4 5.5 9.5 19.5 19.5 0.0 3.0
2 4 9.5 9.5 15.5 19.5 0.0 3.0
3 4 10.5 14.5 15.5 15.5 0.0 3.0
3 4 10.5 10.5 15.5 19.5 0.0 3.0
3 4 10.5 14.5 19.5 19.5 0.0 3.0
3 4 14.5 14.5 15.5 19.5 0.0 3.0
4 4 15.5 19.5 15.5 15.5 0.0 3.0
4 4 15.5 15.5 15.5 19.5 0.0 3.0
4 4 15.5 19.5 19.5 19.5 0.0 3.0
4 4 19.5 19.5 15.5 15.5 0.0 3.0
